en,ru,def,example,tag,now,last_check,days_before,correct,incorrect,wr,coefficient
headgear,головной убор,a hat or other covering that is worn on the head,"When riding a bicycle, you should wear the proper headgear.",general,2022-11-09 01:58:18.177416,2022-10-02 00:32:33.624143,38,1,1,0.5,0.4348681795975335
abroad,за рубежом,in or a to a foreign country or countries,We always go abroad in the summer.,frequent,2022-11-09 01:58:18.177416,2022-10-02 00:31:53.590817,38,1,1,0.5,0.4348681795975335
desperation,отчаяние,the feeling that you have when you are in such a bad situation that you are willing to take risks in order to change it,"in desperation, they jumped out of the window to espace fire ",general,2022-11-09 01:58:18.177416,2022-10-02 00:32:12.148302,38,1,1,0.5,0.4348681795975335
estimation,расчёт,your opinion of someone or something,In my estimation a lot of other banks are going to have the same problem.,general,2022-11-09 01:58:18.177416,2022-10-02 00:31:21.355316,38,1,1,0.5,0.4348681795975335
accessible,доступный,able to be reached or easily obtained,"The resort is easily accessible by road, rail, and air",dictation 1,2022-11-09 01:58:18.177416,2022-10-27 16:11:22.189512,12,2,3,0.4,0.45328358252829654
contribute,способствовать,to help to cause an event or situation,Smoking contributed to his early death.,dictation 1,2022-11-09 01:58:18.177416,2022-10-27 16:11:14.671604,12,3,4,0.42857142857142855,0.4810319837804267
shift,сдвигать,"to (cause something or someone to) move or change from one position or direction to another, especially slightly",The wind is expected to shift (to the east) tomorrow.,habit,2022-11-09 01:58:18.177416,2022-10-22 21:09:50.452077,17,1,1,0.5,0.5075934984788494
queer,странный,not fitting traditional ideas about gender or sexuality,They strongly identify with queer culture.,general,2022-11-09 01:58:18.177416,2022-10-22 19:13:34.200066,17,1,1,0.5,0.5075934984788494
push aside,оттолкнуть,to stop worrying or thinking about (something),He pushed aside his fear of rejection and asked her out on a date.,dictation 1,2022-11-09 01:58:18.177416,2022-10-22 19:05:23.462604,17,1,1,0.5,0.5075934984788494
guilt,чувство вины,"a feeling of worry or unhappiness that you have because you have done something wrong, such as causing harm to another person",She remembered with a pang of guilt that she hadn't called her mother.,general,2022-11-09 01:58:18.177416,2022-10-22 11:46:10.497158,17,1,1,0.5,0.5075934984788494
cease,прекратить,to stop something,Whether the protests will cease remains to be seen.,general,2022-11-09 01:58:18.177416,2022-10-22 19:13:42.664095,17,1,1,0.5,0.5075934984788494
overall,общий,"in general rather than in particular, or including all the people or things in a particular group or situation","Overall, it has been a good year.",habit,2022-11-09 01:58:18.177416,2022-10-22 19:13:22.776316,17,1,1,0.5,0.5075934984788494
affirm,подтверждать,to state something as true,The suspect affirmed (that) he had been at home all evening.,general,2022-11-09 01:58:18.177416,2022-10-22 19:13:52.545156,17,1,1,0.5,0.5075934984788494
though,хотя,despite the fact that,"She hasn't called, even though she said she would.",general,2022-11-09 01:58:18.177416,2022-10-22 19:05:09.174266,17,1,1,0.5,0.5075934984788494
cease,прекратить,to stop something,Whether the protests will cease remains to be seen.,general,2022-11-09 01:58:18.177416,2022-10-22 19:05:16.490087,17,1,1,0.5,0.5075934984788494
notice,замечать,to see or become conscious of something or someone,He noticed (that) the woman was staring at him.,general,2022-11-09 01:58:18.177416,2022-10-22 11:46:15.322916,17,1,1,0.5,0.5075934984788494
wire,провод,"a piece of thin metal thread that can be bent, used for fastening things and for making particular types of objects that are strong but can bend",a wire fence,general,2022-11-09 01:58:18.177416,2022-10-22 23:56:35.586129,17,1,1,0.5,0.5075934984788494
oblivion,забвение,the state of being completely forgotten,He was another minor poet who was consigned to oblivion.,general,2022-11-09 01:58:18.177416,2022-10-22 09:30:29.568615,17,1,1,0.5,0.5075934984788494
nod,кивать,"to move your head down and then up, sometimes several times, especially to show agreement, approval, or greeting, or to show something by doing this",Many people in the audience nodded in agreement,general,2022-11-09 01:58:18.177416,2022-10-23 11:21:17.969741,16,1,1,0.5,0.5134294400902254
discriminate,различать,to see the difference between two things or people,Police dogs can discriminate between the different smells.,general,2022-11-09 01:58:18.177416,2022-10-23 11:21:27.829271,16,1,1,0.5,0.5134294400902254
simultaneously,одновременно,happening or being done at exactly the same time,Two children answered the teacher's question simultaneously.,general,2022-11-09 01:58:18.177416,2022-10-23 11:21:45.457402,16,1,1,0.5,0.5134294400902254
mature,зрелый,Mature people behave like adults in a way that shows they are well developed emotionally,,general,2022-11-09 01:58:18.177416,2022-10-23 11:21:13.622421,16,1,1,0.5,0.5134294400902254
claim,требовать,"to say that something is true or is a fact, although you cannot prove it and other people might not believe it",The company claims (that) it is not responsible for the pollution in the river.,general,2022-11-09 01:58:18.177416,2022-10-23 11:22:04.763917,16,1,1,0.5,0.5134294400902254
interrupted,прерванныый,to stop a person from speaking for a short period by something you say or do,I wish you'd stop interrupting.,general,2022-11-09 01:58:18.177416,2022-10-23 11:21:21.244989,16,1,1,0.5,0.5134294400902254
competitive,конкурентноспособный,wanting very much to win or be more successful than other people,You're very competitive - it's meant to be a friendly match!,dictation 1,2022-11-09 01:58:18.177416,2022-10-27 16:11:08.227447,12,2,2,0.5,0.5417287459789248
afford,предоставлять,to allow someone to have something pleasant or necessary,,dictation 1,2022-11-09 01:58:18.177416,2022-10-27 16:10:55.036055,12,2,2,0.5,0.5417287459789248
acquisition,приобретение,the process of getting something,the acquisition of huge amounts of data has helped our research enormously,general,2022-11-09 01:58:18.177416,2022-10-28 17:18:44.632198,11,1,1,0.5,0.550470820343794
engaged,вовлечённый,involved in something,they've been engaged in a legal battle with the council for several months.,general,2022-11-09 01:58:18.177416,2022-10-28 17:18:51.996686,11,1,1,0.5,0.550470820343794
precise,точный,exact and accurate,he caught me at the precise moment that i fainted.,general,2022-11-09 01:58:18.177416,2022-10-28 17:18:38.960750,11,1,1,0.5,0.550470820343794
ancestor,предок,a person related to you who lived a long time ago,there were portraits of his ancestors on the walls of the room.,dictation 2,2022-11-09 01:58:18.177416,2022-10-31 00:40:30.284139,9,2,2,0.5,0.5709138144702836
increasingly,всё больше,more and more,to be increasingly important/common,dictation 1,2022-11-09 01:58:18.177416,2022-10-27 16:10:22.484917,12,2,1,0.6666666666666666,0.6474314215904312
upward,вверх,"towards a higher position, level, or value",she turned her face upwards to the sun.,dictation 2,2022-11-09 01:58:18.177416,2022-10-31 00:42:26.082427,9,4,2,0.6666666666666666,0.67341886105743
bring within reach,сделать в пределах досягаемости,-,-,dictation 2,2022-11-09 01:58:18.177416,2022-10-31 00:41:38.807347,9,4,2,0.6666666666666666,0.67341886105743
receive a boost,получить повышение,to get or be given boost,,dictation 2,2022-11-09 01:58:18.177416,2022-10-31 00:41:31.705032,9,4,2,0.6666666666666666,0.67341886105743
comprehension,понимание,"the ability to understand completely and be familiar with a situation, facts, etc.",He has no comprehension of the size of the problem.,general,2022-11-09 01:58:18.177416,2022-09-19 21:35:00.256930,50,1,0,1.0,0.6749055233774375
currently,в данный момент,at present moment,,dictation 1,2022-11-09 01:58:18.177416,2022-09-19 21:29:59.808102,50,1,0,1.0,0.6749055233774375
comprehension,понимание,"the ability to understand completely and be familiar with a situation, facts, etc.",He has no comprehension of the size of the problem.,general,2022-11-09 01:58:18.177416,2022-09-19 21:25:46.371612,50,1,0,1.0,0.6749055233774375
hilarious,весёлый,extremely funny and causing a lot of laughter,He didn't like the film at all - I thought it was hilarious.,general,2022-11-09 01:58:18.177416,2022-09-19 22:00:51.399469,50,1,0,1.0,0.6749055233774375
keep up,успевать,to be able to understand or deal with something that is happening or changing very fast,I read the papers to keep up with what's happening in the outside world.,dictation 1,2022-11-09 01:58:18.177416,2022-09-19 21:28:40.512666,50,2,0,1.0,0.6749055233774375
immersion,погружение,the fact of becoming completely involved in something,Total immersion in a videogame is almost like living another life.,general,2022-11-09 01:58:18.177416,2022-09-19 21:34:50.397937,50,1,0,1.0,0.6749055233774375
fade,тускнеть,"to lose colour, brightness, or strenght gradually","If you hang your clothes out in the bright sun, they will fade.",general,2022-11-09 01:58:18.177416,2022-09-19 22:00:46.643358,50,1,0,1.0,0.6749055233774375
brief,краткий,lasting only a short time or containing few words,I had a brief look at her report before the meeting,general,2022-11-09 01:58:18.177416,2022-09-19 22:01:13.643958,50,1,0,1.0,0.6749055233774375
wits,остроумие,practical intelligence or understanding,She’s learned to survive on her wits.,general,2022-11-09 01:58:18.177416,2022-09-19 22:01:23.826116,50,1,0,1.0,0.6749055233774375
assign,назначать,to give a particular job or piece of work to someone,UN troops were assigned the task of rebuilding the hospital.,dictation 1,2022-11-09 01:58:18.177416,2022-09-21 01:04:44.299032,49,1,0,1.0,0.6762433378062414
make room,освободить место,move aside or move something aside to allow someone to enter or pass or to clear space for something,the secretary entered with the coffee tray and made room for it on the desk,dictation 1,2022-11-09 01:58:18.177416,2022-09-21 01:04:49.379131,49,1,0,1.0,0.6762433378062414
roof,крыша,"the covering that forms the top of a building, vehicle, etc.",,general,2022-11-09 01:58:18.177416,2022-09-20 11:14:18.662487,49,1,0,1.0,0.6762433378062414
gambling,играть в азартные игры,"the activity of betting money, for example in a game or on a horse race",Gambling can be an addictive habit.,general,2022-11-09 01:58:18.177416,2022-09-20 11:14:05.618642,49,1,0,1.0,0.6762433378062414
convenient,удобный,suitable for your purposes and needs and causing the least difficulty,Our local shop has very convenient opening hours.,dictation 1,2022-11-09 01:58:18.177416,2022-09-20 11:13:56.119405,49,1,0,1.0,0.6762433378062414
desire,желание (сильное),"to want something, especially strongly",I desire only to be left in peace.,general,2022-11-09 01:58:18.177416,2022-09-20 11:12:49.734781,49,1,0,1.0,0.6762433378062414
goods,товары,"items for sale, or possessions that can be moved","They sell leather goods such as wallets, purses, and briefcases.",dictation 1,2022-11-09 01:58:18.177416,2022-09-21 01:04:55.352278,49,1,0,1.0,0.6762433378062414
take over,перенимать,to start doing a job or being responsible for something that another person did or had responsibility for before,He took over from the previous headmaster in February.,general,2022-11-09 01:58:18.177416,2022-09-21 23:49:06.441362,48,1,0,1.0,0.677610913400481
consistent,последовательный,"always behaving or happening in a similar, especially positive, way","Her work is sometimes good, but the problem is she's not consistent.",general,2022-11-09 01:58:18.177416,2022-09-21 23:48:30.880830,48,1,0,1.0,0.677610913400481
mode of transportation,средство передвижения,vehicle,,dictation 1,2022-11-09 01:58:18.177416,2022-09-21 23:52:35.051437,48,1,0,1.0,0.677610913400481
eliminate,ликвидировать,to remove or take away someone or something,We eliminated the possibility that it could have been an accident,general,2022-11-09 01:58:18.177416,2022-09-21 23:48:51.165214,48,1,0,1.0,0.677610913400481
affordable,доступный,not expensive,nice clothes at affordable prices,dictation 1,2022-11-09 01:58:18.177416,2022-09-21 23:50:16.386810,48,1,0,1.0,0.677610913400481
retribution,возмездие,deserved and severe punishment,They fled because they feared retribution for the genocide.,general,2022-11-09 01:58:18.177416,2022-09-21 23:53:45.889564,48,1,0,1.0,0.677610913400481
comfortable,комфортный,provide a pleasant feeling and do not give you any physical problems,a comfortable sofa,dictation 1,2022-11-09 01:58:18.177416,2022-09-21 23:50:25.246899,48,1,0,1.0,0.677610913400481
maintain,поддерживать,"to continue to have; to keep in existence, or not allow to become less",The army has been brought in to maintain order in the region.,general,2022-11-09 01:58:18.177416,2022-09-21 23:49:19.720469,48,1,0,1.0,0.677610913400481
influence,влиять на что-то,"to affect or change how someone or something develops, behaves, or thinks",She's very good at making friends and influencing people.,dictation 1,2022-11-09 01:58:18.177416,2022-09-21 23:49:52.712549,48,1,0,1.0,0.677610913400481
dominate,доминировать,to have control over a place or person,He refuses to let others speak and dominates every meeting.,dictation 1,2022-11-09 01:58:18.177416,2022-09-21 23:47:53.470517,48,1,0,1.0,0.677610913400481
affect,оказывать влияние,"to have an influence on someone or something, or to cause a change in someone or something",Both buildings were badly affected by the fire.,dictation 1,2022-11-09 01:58:18.177416,2022-09-21 23:51:41.471419,48,1,0,1.0,0.677610913400481
essential,существенный,neccessary or needed,Government support will be essential if the project is to succeed.,dictation 1,2022-11-09 01:58:18.177416,2022-09-21 23:47:57.081848,48,1,0,1.0,0.677610913400481
commit,совершить,to do something illegal or something that is considered wrong,to commit adultery/murder,general,2022-11-09 01:58:18.177416,2022-09-21 23:49:36.735309,48,1,0,1.0,0.677610913400481
inspire,вдохновлять,to make someone feel that they want to do something and can do it,His confident leadership inspired his followers.,general,2022-11-09 01:58:18.177416,2022-09-21 23:51:34.352164,48,1,0,1.0,0.677610913400481
increase,увеличивать,to (make something) become larger in amount or size,Incidents of armed robbery have increased over the last few years.,dictation 1,2022-11-09 01:58:18.177416,2022-09-21 23:53:09.052982,48,1,0,1.0,0.677610913400481
tax,налог,(an amount of) money paid to the government that is based on your income or the cost of goods or services you have bought,They're increasing the tax on cigarettes.,general,2022-11-09 01:58:18.177416,2022-09-21 23:49:02.626958,48,1,0,1.0,0.677610913400481
instead,вместо,in place of someone or something else,,dictation 1,2022-11-09 01:58:18.177416,2022-09-21 23:51:45.827588,48,1,0,1.0,0.677610913400481
precise,точный,exact and accurate,The bunker's precise location is a closely guarded secret.,general,2022-11-09 01:58:18.177416,2022-09-21 23:48:10.117875,48,1,0,1.0,0.677610913400481
altogether,in total,вообще,"That'll be $52.50 altogether, please",general,2022-11-09 01:58:18.177416,2022-09-21 23:52:14.966435,48,1,0,1.0,0.677610913400481
unleash,дать волю,to suddenly release a violent force that cannot be controlled,"At worst, nuclear war could be unleashed.",general,2022-11-09 01:58:18.177416,2022-10-02 00:30:53.838766,38,1,0,1.0,0.693255844034287
phubbing,фаббинг,the act of ignoring someone you are with and giving attention to your mobile phone instead,Researchers found almost half of relationships are affected by phubbing.,general,2022-11-09 01:58:18.177416,2022-10-02 00:31:14.054193,38,1,0,1.0,0.693255844034287
assume,предпологать,to accept something to be true without any proof,I assumed (that) you knew each other because you went to the same school.,frequent,2022-11-09 01:58:18.177416,2022-10-02 00:29:08.331574,38,1,0,1.0,0.693255844034287
adjustable,регулируемый,able to be changed to suit particular needs,the height of the steering wheel is adjustable.,dictation 2,2022-11-09 01:58:18.177416,2022-10-31 00:40:48.105623,9,5,2,0.7142857142857143,0.6960304197822245
support,поддерживать,"to agree with and give encouragement to someone or something because you want him, her, or it to succeed",my father supported the labour party all his life.,dictation 2,2022-11-09 01:58:18.177416,2022-10-31 00:40:22.767947,9,5,2,0.7142857142857143,0.6960304197822245
envisage,предусматривать,"to imagine or expect something in the future, especially something good",train fare increases of 15 percent are envisaged for the next year.,general,2022-11-09 01:58:18.177416,2022-10-27 17:10:20.366800,12,4,1,0.8,0.7077823345149383
maintain,поддерживать,"to continue to have; to keep in existence, or not allow to become less",we have standards to maintain.,dictation 2,2022-11-09 01:58:18.177416,2022-10-31 00:40:39.749294,9,3,1,0.75,0.7115250327082457
incredibly,невероятно,used for saying that something is very difficult to believe,"incredibly, no one was hurt in the accident.",dictation 2,2022-11-09 01:58:18.177416,2022-10-31 00:40:54.824486,9,4,1,0.8,0.7313792553345936
manage to do something,суметь сделать что-то,"to succeed in doing or dealing with something, especially something difficult",i only just managed to finish on time.,dictation 2,2022-11-09 01:58:18.177416,2022-10-31 00:41:17.625767,9,5,1,0.8333333333333334,0.7435567326438616
deliver,доставлять,"to take goods, letter, pacels, etc. to people's houses or places of work",mail is delivered to our office twice a day.,dictation 2,2022-11-09 01:58:18.177416,2022-10-31 00:41:26.855607,9,5,1,0.8333333333333334,0.7435567326438616
cure,лечить,to make someone with an illness healthy again (sometimes to solve a problem),At one time doctors couldn't cure TB/cure people of TB.,general,2022-11-09 01:58:18.177416,2022-10-22 09:29:50.558275,17,1,0,1.0,0.7489843608000769
leech,пиявка,a person who gives attention to someone over a long period in order to get their money or support,/skip,general,2022-11-09 01:58:18.177416,2022-10-22 19:09:54.142228,17,1,0,1.0,0.7489843608000769
eventually,в итоге,"in the end, especially after a long time or a lot of effort, problems, etc.",It might take him ages but he'll do it eventually.,dictation 1,2022-11-09 01:58:18.177416,2022-10-22 20:49:12.207412,17,1,0,1.0,0.7489843608000769
exile,изгой,"the condition of someone being sent or kept away from their own country, village, etc., especially for political reasons:",The king went into exile because of the political situation in his country.,general,2022-11-09 01:58:18.177416,2022-10-22 19:10:16.188659,17,1,0,1.0,0.7489843608000769
make an impact on,оказывать влияние на,-,,dictation 1,2022-11-09 01:58:18.177416,2022-10-22 19:09:57.421969,17,1,0,1.0,0.7489843608000769
replicate,копировать,to make or do something again in exactly the same way,Researchers tried many times to replicate the original experiment.,habit,2022-11-09 01:58:18.177416,2022-10-22 19:09:33.007180,17,1,0,1.0,0.7489843608000769
flow,течь,"(especially of liquids, gases, or electricity) to move in one direction, especially continuously and easily",Lava from the volcano was flowing down the hillside,general,2022-11-09 01:58:18.177416,2022-10-22 09:31:19.848183,17,1,0,1.0,0.7489843608000769
above,выше,in or to a higher position than something else,There's a mirror above the sink,general,2022-11-09 01:58:18.177416,2022-10-22 19:09:45.249183,17,1,0,1.0,0.7489843608000769
gamble,рисковать,"to risk money, for example in a game or on a horse race",I like to gamble when I play cards - it makes it more interesting.,general,2022-11-09 01:58:18.177416,2022-10-22 19:04:55.367698,17,1,0,1.0,0.7489843608000769
destiny,судьба,the things that will happen in the future,The destiny of our nation depends on this vote!,habit,2022-11-09 01:58:18.177416,2022-10-22 19:12:04.735276,17,1,0,1.0,0.7489843608000769
accomplish,выполнить,to finish something successfully or to achieve something,The students accomplished the task in less than ten minutes.,frequent,2022-11-09 01:58:18.177416,2022-10-22 09:27:08.866676,17,1,0,1.0,0.7489843608000769
bow,кланяться,"to bend your head or body forward, especially as a way of showing someone respect or expressing thanks to people who have watched you perform",They bowed to the Queen.,general,2022-11-09 01:58:18.177416,2022-10-22 19:11:02.142026,17,1,0,1.0,0.7489843608000769
drain,осушать,"If you drain something, you remove the liquid from it",Drain the pasta thoroughly.,general,2022-11-09 01:58:18.177416,2022-10-22 20:31:31.115643,17,1,0,1.0,0.7489843608000769
hybrid,смешанный,"a plant or animal that has been produced from two different types of plant or animal, especially to get better characteristics",The garden strawberry is a large-fruited hybrid.,dictation 1,2022-11-09 01:58:18.177416,2022-10-22 21:06:03.878687,17,1,0,1.0,0.7489843608000769
vastly,сильно,very much,vastly different,general,2022-11-09 01:58:18.177416,2022-10-23 11:18:42.736344,16,1,0,1.0,0.7532776949250389
rear,задний,at the back of something,the horse had injured one of its rear legs.,general,2022-11-09 01:58:18.177416,2022-10-23 11:18:50.225639,16,1,0,1.0,0.7532776949250389
new,новый,recently created or having started to exist recently,a new car,general,2022-11-09 01:58:18.177416,2022-10-23 11:20:21.454635,16,1,0,1.0,0.7532776949250389
shelter,приют,"(a building designed to give) protection from bad weather, danger, or attack",The trees gave/provided some shelter from the rain.,general,2022-11-09 01:58:18.177416,2022-10-23 11:18:23.128061,16,1,0,1.0,0.7532776949250389
glory,слава,"great admiration, honour, and praise that you earn by doing something successfully",He revelled in the glory of scoring three goals in the final eight minutes.,general,2022-11-09 01:58:18.177416,2022-10-23 11:17:42.667887,16,1,0,1.0,0.7532776949250389
